Name,Nationality,Age,Games Played,Goals,Own Goals,Assists,Yellow Cards,Red Cards,Second Yellow,Subbed On,Subbed Off,Most Recent Transfer Fee,Value
Facundo Medina,Argentina,22,14,1,0,0,5,0,0,0,3,3500000,10000000
Colin Dagba,France,23,2,0,0,0,0,0,0,1,1,0,10000000
Nahuel Molina,Argentina,23,15,2,0,2,3,0,0,3,7,0,10000000
Lucas Martínez Quarta,Argentina,25,9,1,0,0,5,0,0,0,2,6300000,10000000
Mitchel Bakker,Netherlands,21,14,1,0,6,4,0,0,2,4,7000000,10000000
Diogo Leite,Portugal,22,15,0,0,0,5,0,0,1,1,0,10000000
Diogo Dalot,Portugal,22,8,0,0,1,1,0,0,5,0,22000000,10000000
Trevoh Chalobah,England,22,13,3,0,0,0,0,0,2,0,0,10000000
Rico Henry,England,24,14,2,0,0,1,0,0,1,3,1800000,10000000
Konstantinos Tsimikas,Greece,25,11,0,0,2,1,0,0,2,4,13000000,10000000
Romain Perraud,France,24,8,0,0,0,0,0,0,1,3,12000000,10000000
Joe Rodon,Wales,24,6,0,0,0,0,0,0,2,1,12100000,10000000
Andoni Gorosabel,Spain,25,17,0,0,1,4,0,0,5,5,0,10000000
Eric Bailly,Cote d'Ivoire,27,4,0,1,0,1,0,0,0,1,38000000,10000000
Álvaro Odriozola,Spain,25,11,0,0,1,4,0,0,4,3,30000000,10000000
Marlon,Brazil,26,20,0,0,0,5,0,1,0,3,12000000,10000000
Adam Marusic,Montenegro,29,14,0,0,0,2,0,0,4,2,5500000,10000000
Romain Saïss,Morocco,31,14,2,0,0,3,0,0,0,2,4000000,10000000
Ruben Aguilar,France,28,19,0,2,0,1,0,0,5,2,8000000,10000000
Marvin Friedrich,Germany,25,17,0,1,0,1,0,1,0,0,2000000,10000000
Clinton Mata,Angola,29,23,2,0,3,4,0,0,0,3,1500000,10000000
Valentino Lazaro,Austria,25,9,0,0,2,1,0,0,6,2,22400000,10000000
Davide Zappacosta,Italy,29,18,1,0,4,3,0,0,2,9,9000000,10000000
Niklas Stark,Germany,26,13,0,0,0,1,0,0,0,0,3000000,10000000
Benjamin Mendy,France,27,2,0,0,0,0,0,0,0,1,57500000,10000000
Willy Boly,Cote d'Ivoire,30,1,0,0,0,0,0,0,0,0,12000000,10000000
Francesco Acerbi,Italy,33,17,0,0,2,2,1,0,0,0,12000000,10000000
José Luis Palomino,Argentina,31,16,1,0,1,6,0,0,1,2,4700000,10000000
Stefan Lainer,Austria,29,4,0,0,0,0,0,0,1,1,12500000,10000000
Marcel Halstenberg,Germany,30,0,0,0,0,0,0,0,0,0,3500000,10000000
Simon Kjaer,Denmark,32,13,0,1,0,2,0,0,1,1,3680000,10000000
Toby Alderweireld,Belgium,32,8,0,0,0,0,0,0,0,2,13000000,10000000
Dejan Lovren,Croatia,32,16,0,0,0,3,0,0,1,1,12000000,10000000
Armando Izzo,Italy,29,4,0,0,0,0,0,0,3,1,10700000,10000000
Sergio Ramos,Spain,35,1,0,0,0,0,0,0,0,0,0,9000000
Gonçalo Inácio,Portugal,20,17,3,0,2,1,0,0,0,2,0,9000000
Pascal Struijk,Netherlands,22,15,1,0,0,2,1,0,3,1,0,9000000
Thierry Correia,Portugal,22,6,0,0,0,1,0,0,1,1,12000000,9000000
Faitout Maouassa,France,23,9,0,0,0,0,0,0,4,4,4000000,9000000
Mert Müldür,Turkey,22,9,0,0,1,3,0,0,3,1,4700000,9000000
Antonee Robinson,United States,24,19,2,0,2,4,0,0,2,1,2100000,9000000
Tyrell Malacia,Netherlands,22,24,1,0,3,4,0,0,0,2,0,9000000
Pol Lirola,Spain,24,16,1,0,1,0,0,0,3,10,6500000,9000000
Benjamin Henrichs,Germany,24,9,0,0,0,0,0,0,6,2,15000000,9000000
Waldemar Anton,Germany,25,11,0,0,0,2,1,0,1,0,4000000,9000000
Georgiy Dzhikiya,Russia,28,22,1,0,1,3,0,0,0,2,2350000,9000000
Felipe,Brazil,32,11,1,0,1,3,1,0,2,1,20000000,9000000
Pablo,Brazil,30,14,1,0,0,5,0,0,3,1,2500000,9000000
Fabian Schär,Switzerland,29,5,0,0,0,2,0,0,0,1,4000000,9000000
Cristiano Biraghi,Italy,29,15,1,0,1,2,0,0,0,3,2000000,8500000
Vanderson,Brazil,20,0,0,0,0,0,0,0,0,0,0,8500000
David Carmo,Portugal,22,0,0,0,0,0,0,0,0,0,0,8500000
Matteo Gabbia,Italy,22,2,0,0,0,0,0,0,0,1,0,8500000
David Raum,Germany,23,14,0,0,4,2,0,0,1,4,0,8500000
Marin Pongracic,Croatia,24,13,0,0,0,1,0,0,6,5,9000000,8500000
Jérôme Boateng,Germany,33,11,0,0,1,4,0,0,1,7,0,8000000
Piero Hincapié,Ecuador,19,13,1,0,0,2,0,0,4,7,6350000,8000000
Manu Sánchez,Spain,21,13,1,0,2,2,0,0,2,5,0,8000000
Aaron Hickey,Scotland,19,14,2,0,0,5,0,0,0,9,1700000,8000000
Strahinja Pavlovic,Serbia,20,11,0,0,0,2,0,1,3,1,10000000,8000000
Melvin Bard,France,21,17,1,0,2,1,0,0,3,2,3000000,8000000
Luke Thomas,England,20,16,0,0,1,4,0,0,1,2,0,8000000
Neco Williams,Wales,20,4,0,0,2,0,0,0,2,0,0,8000000
Carlos Cuesta,Colombia,22,11,0,0,0,0,0,0,0,2,3800000,8000000
Nathan Collins,Ireland,20,7,0,0,0,1,0,0,1,0,14000000,8000000
Lutsharel Geertruida,Netherlands,21,19,0,0,1,2,0,0,12,2,0,8000000
Perr Schuurs,Netherlands,22,10,0,0,1,0,0,0,7,1,2000000,8000000
Lucas Veríssimo,Brazil,26,18,3,0,2,5,0,1,0,3,6500000,8000000
Fabien Centonze,France,25,13,4,0,1,3,0,0,0,0,3000000,8000000
Nathaniel Phillips,England,24,3,0,0,0,0,0,0,2,0,0,8000000
Nayef Aguerd,Morocco,25,22,4,0,1,1,0,0,0,0,4000000,8000000
Guilherme Arana,Brazil,24,1,0,0,0,0,0,0,0,1,2500000,8000000
Axel Tuanzebe,England,24,9,0,0,0,1,0,0,1,1,0,8000000
Hamari Traoré,Mali,29,20,1,0,4,3,0,0,0,6,2400000,8000000
Maximilian Wöber,Austria,23,20,2,0,1,4,0,0,1,4,10500000,8000000
Diogo Gonçalves,Portugal,24,12,0,0,1,0,1,0,5,6,0,8000000
Rúben Vezo,Portugal,27,13,0,0,1,3,0,0,1,0,5000000,8000000
Alexander Djiku,Ghana,27,13,0,0,0,4,0,1,0,1,4500000,8000000
Jordan Amavi,France,27,2,0,0,0,0,0,0,0,2,10000000,8000000
Paulo Otávio,Brazil,27,8,0,0,1,0,0,0,4,4,1100000,8000000
Jack Stephens,England,27,6,0,0,0,2,0,0,0,1,170000,8000000
Djibril Sidibé,France,29,13,0,0,0,2,0,0,4,3,15000000,8000000
Marc Oliver Kempf,Germany,26,12,3,0,0,2,0,0,1,4,800000,8000000
Pavel Kaderabek,Czech Republic,29,5,1,0,1,2,0,0,1,2,3500000,8000000
Alessandro Florenzi,Italy,30,10,0,0,0,0,0,0,7,3,1250000,8000000
Dedryck Boyata,Belgium,31,9,0,0,0,0,1,0,0,2,2000000,8000000
Mário Rui,Portugal,30,16,0,0,2,4,1,0,0,5,5750000,8000000
Aïssa Mandi,Algeria,30,10,0,1,0,2,0,0,3,0,2800000,8000000
James Tavernier,England,30,22,3,1,13,2,0,0,1,0,250000,8000000
Yuri Berchiche,Spain,31,0,0,0,0,0,0,0,0,0,24000000,8000000
Nacho Fernández,Spain,31,14,2,0,0,3,0,0,4,2,0,8000000
Nicolás Otamendi,Argentina,33,19,0,0,1,5,0,0,0,1,15000000,8000000
Ryan Bertrand,England,32,9,0,0,0,2,0,0,1,4,0,8000000
Leonardo Bonucci,Italy,34,17,3,1,0,1,0,0,0,1,35000000,7500000
Abner,Brazil,21,1,0,0,0,0,0,0,1,0,2400000,7500000
Chris Richards,United States,21,13,0,0,1,0,0,0,7,0,1100000,7500000
David Zima,Czech Republic,21,13,0,0,0,2,0,0,5,0,5900000,7500000
Dani Vivian,Spain,22,9,1,0,0,0,0,0,0,1,0,7500000
Valentin Rosier,France,25,16,0,0,2,1,0,1,0,0,5100000,7500000
Luca Pellegrini,Italy,22,4,0,0,0,0,0,0,2,1,22000000,7500000
Mouctar Diakhaby,France,24,13,0,1,0,5,0,0,8,1,15000000,7500000
Sebastian Walukiewicz,Poland,21,8,0,1,0,1,0,0,1,4,4000000,7500000
Malang Sarr,France,22,3,0,0,0,1,0,0,0,0,0,7500000
Yairo Moreno,Colombia,26,14,2,1,1,5,0,0,0,6,0,7500000
David García,Spain,27,14,2,0,0,4,0,0,0,0,0,7500000
Ludwig Augustinsson,Sweden,27,7,0,0,1,0,0,0,4,2,5500000,7500000
Connor Goldson,England,28,24,1,0,0,4,0,0,0,0,3400000,7500000
Nikola Maksimovic,Serbia,30,5,0,0,0,2,0,0,0,1,0,7500000
Robin Knoche,Germany,29,22,0,0,1,4,0,0,0,0,0,7500000
Mattia De Sciglio,Italy,29,6,0,0,1,1,0,0,1,3,12000000,7500000
Gerard Piqué,Spain,34,16,2,0,0,6,0,0,1,3,5000000,7000000
Sinaly Diomandé,Cote d'Ivoire,20,14,0,1,0,2,0,0,7,1,550000,7000000
Renan,Brazil,19,0,0,0,0,0,0,0,0,0,0,7000000
Wilfried Singo,Cote d'Ivoire,20,15,1,0,2,1,0,0,1,7,0,7000000
Guga,Brazil,23,0,0,0,0,0,0,0,0,0,1800000,7000000
Pierre Kalulu,France,21,19,2,0,3,2,0,0,7,6,1190000,7000000
Hugo Siquet,Belgium,19,21,0,1,3,5,0,0,1,12,5500000,7000000
Brandon Soppy,France,19,10,0,0,0,0,0,0,9,1,2000000,7000000
Timothée Pembélé,France,19,17,1,0,0,2,0,0,7,6,0,7000000
João Mário,Portugal,21,20,0,0,3,2,0,0,1,5,0,7000000
Nuno Tavares,Portugal,21,17,1,0,3,1,0,0,5,1,8000000,7000000
Becir Omeragic,Switzerland,19,19,0,0,1,2,0,0,1,3,0,7000000
Ben Cabango,Wales,21,15,1,0,1,2,0,0,3,2,0,7000000
Ki-Jana Hoever,Netherlands,19,11,1,0,3,1,0,0,7,0,9800000,7000000
Armel Bella Kotchap,Germany,19,15,0,0,0,1,0,0,6,3,0,7000000
Matteo Lovato,Italy,21,11,0,0,1,2,0,0,4,2,8000000,7000000
Ethan Pinnock,Jamaica,28,14,1,0,1,0,0,0,0,2,3350000,7000000
Omar Richards,England,23,8,0,0,1,0,0,0,5,1,0,7000000
Victor Nelsson,Denmark,23,22,0,0,1,4,0,0,1,0,7000000,7000000
Gabriele Zappa,Italy,21,12,0,0,0,2,0,1,4,5,3500000,7000000
César Montes,Mexico,24,11,1,0,0,1,0,1,0,2,0,7000000
Pape Abou Cissé,Senegal,26,21,2,0,0,6,0,0,3,3,700000,7000000
Juan Miranda,Spain,21,14,2,0,0,2,0,0,0,6,0,7000000
Amos Pieper,Germany,23,14,0,0,0,3,0,0,0,1,50000,7000000
Luis Abram,Peru,25,7,0,0,0,1,0,0,2,2,0,7000000
Filip Uremovic,Croatia,24,16,0,0,0,5,0,0,0,2,1000000,7000000
Olivier Boscagli,France,24,24,3,0,0,4,0,1,1,5,2000000,7000000
Dimitrios Giannoulis,Greece,26,10,0,0,0,1,0,0,4,2,7500000,7000000
Wout Faes,Belgium,23,15,1,0,0,1,0,0,0,0,0,7000000
Hassane Kamara,Cote d'Ivoire,27,11,0,0,0,2,0,0,4,5,4000000,7000000
Paulo Díaz,Chile,27,14,1,0,0,3,0,0,0,1,3600000,7000000
Wilson Manafá,Portugal,27,7,0,0,1,1,0,0,3,1,7000000,7000000
Kevin Bonifazi,Italy,25,9,0,1,1,2,0,0,2,1,6000000,7000000
Reinildo Mandava,Mozambique,27,18,0,0,0,5,0,0,1,4,3000000,7000000
Daley Sinkgraven,Netherlands,26,10,0,0,0,0,0,0,7,3,5000000,7000000
Dória,Brazil,27,18,1,0,0,5,0,0,0,0,2000000,7000000
Arthur Masuaku,DR Congo,28,10,0,0,0,0,0,0,2,5,7100000,7000000
Vyacheslav Karavaev,Russia,26,16,0,0,2,2,0,0,1,7,8000000,7000000
Jeison Murillo,Colombia,29,13,0,0,0,3,0,0,1,5,13300000,7000000
Ben Gibson,England,28,11,0,0,0,1,0,1,0,0,9300000,7000000
Jérôme Roussillon,France,28,16,1,0,0,5,0,0,5,8,5000000,7000000
John Egan,Ireland,29,21,2,0,0,2,0,0,0,0,4500000,7000000
Jeffrey Gouweleeuw,Netherlands,30,11,1,0,0,4,0,0,0,0,3000000,7000000
Liam Cooper,Scotland,30,14,0,0,1,4,0,0,1,0,750000,7000000
Davide Faraoni,Italy,30,13,2,0,2,4,0,0,0,3,300000,7000000
Néstor Araújo,Mexico,30,13,0,0,0,2,0,0,4,1,7000000,7000000
Matteo Darmian,Italy,31,15,1,0,1,3,0,0,1,7,2500000,7000000
Jonny Evans,Northern Ireland,33,11,0,0,1,2,0,0,1,3,4000000,6500000
Min-jae Kim,"Korea, South",25,17,0,0,0,1,0,1,0,2,3000000,6500000
Keven Schlotterbeck,Germany,24,4,1,0,0,1,0,0,2,0,0,6500000
David Martínez,Paraguay,23,15,0,0,0,1,0,0,1,0,750000,6500000
Junior Sambia,France,25,13,0,0,0,0,0,1,4,4,2000000,6500000
Rasmus Lauritsen,Denmark,25,16,1,0,0,0,0,0,1,3,1600000,6500000
Fodé Ballo-Touré,Senegal,24,9,0,0,0,2,0,0,4,4,5000000,6500000
Wendell,Brazil,28,11,1,0,0,5,0,0,6,4,4000000,6500000
Rodrigo Caio,Brazil,28,0,0,0,0,0,0,0,0,0,7000000,6500000
Youssouf Sabaly,Senegal,28,0,0,0,0,0,0,0,0,0,0,6500000
Patric,Spain,28,9,1,0,0,2,0,0,3,1,500000,6500000
Patrick van Aanholt,Netherlands,31,22,1,0,1,3,0,0,0,9,10500000,6000000
Kaiky,Brazil,17,0,0,0,0,0,0,0,0,0,0,6000000
Chrislain Matsima,France,19,7,0,0,0,1,0,0,2,1,0,6000000
Tuta,Brazil,22,11,1,0,0,3,0,0,1,3,1800000,6000000
Zaidu,Nigeria,24,13,0,0,0,2,0,0,3,5,4000000,6000000
Sebastián Cáceres,Uruguay,22,10,0,0,0,1,0,1,0,1,2300000,6000000
Nino,Brazil,24,1,0,1,0,0,0,0,0,1,1100000,6000000
Aihen Muñoz,Spain,24,17,0,0,0,3,0,1,2,5,0,6000000
Leonidas Stergiou,Switzerland,19,11,0,0,0,0,0,0,0,1,0,6000000
Adrià Pedrosa,Spain,23,14,1,0,1,3,0,0,0,1,0,6000000
Jorge Cuenca,Spain,22,12,1,0,0,1,0,0,1,0,2500000,6000000
Jayden Bogle,England,21,12,1,0,1,2,0,0,2,2,3850000,6000000
Oumar Solet,France,21,14,0,0,1,1,0,0,1,2,4500000,6000000
Dylan Bronn,Tunisia,26,13,1,0,1,4,0,1,0,0,4000000,6000000
Javi Galán,Spain,27,15,0,0,1,1,0,0,0,2,4000000,6000000
Márton Dárdai,Germany,19,8,0,0,1,0,0,0,0,2,0,6000000
Ghislain Konan,Cote d'Ivoire,25,13,1,0,1,0,0,0,0,0,4000000,6000000
Konstantinos Mavropanos,Greece,23,14,4,0,1,2,0,0,0,5,2100000,6000000
Rogério,Brazil,23,11,0,0,1,2,0,0,0,2,7000000,6000000
Andreaw Gravillon,Guadeloupe,23,13,0,0,0,5,0,1,0,1,6100000,6000000
Anel Ahmedhodzic,Bosnia-Herzegovina,22,11,0,0,0,5,1,0,0,0,0,6000000
Stanley Nsoki,France,22,16,0,0,0,2,0,2,0,4,6500000,6000000
Arthur Theate,Belgium,21,16,2,0,2,1,0,1,2,1,0,6000000
Jordan Teze,Netherlands,22,18,0,0,3,1,0,0,10,1,0,6000000
Frédéric Guilbert,France,26,12,1,0,3,1,0,0,1,3,5000000,6000000
Omar Alderete,Paraguay,24,14,1,0,0,9,0,0,1,5,0,6000000
Luan Peres,Brazil,27,19,0,1,1,2,0,0,2,0,4500000,6000000
Giuseppe Pezzella,Italy,24,11,0,0,0,2,0,0,10,0,5750000,6000000
Flavius Daniliuc,Austria,20,13,0,0,1,1,0,0,4,3,0,6000000
Dael Fry,England,24,11,0,0,1,1,0,0,0,1,0,6000000
Jordan Lotomba,Switzerland,23,11,0,0,0,1,0,0,6,4,7000000,6000000
Érick Aguirre,Mexico,24,8,0,0,0,0,0,0,1,1,4600000,6000000
Sebastián Vegas,Chile,24,14,0,0,0,6,0,0,0,2,3640000,6000000
Fabricio Bustos,Argentina,25,22,1,0,2,1,0,0,0,2,0,6000000
Júnior Alonso,Paraguay,28,0,0,0,0,0,0,0,0,0,3000000,6000000
Ola Aina,Nigeria,25,13,0,0,0,3,0,0,2,7,9800000,6000000
Brandon Mechele,Belgium,28,19,0,0,0,0,0,0,4,0,0,6000000
Gustavo Gómez,Paraguay,28,0,0,0,0,0,0,0,0,0,2000000,6000000
Thomas Foket,Belgium,27,10,1,0,0,2,0,0,1,2,3500000,6000000
Kiki Kouyaté,Mali,24,11,1,0,0,3,1,0,0,0,3500000,6000000
Ander Capa,Spain,29,0,0,0,0,0,0,0,0,0,3000000,6000000
Álex Moreno,Spain,28,16,1,0,2,2,0,0,4,1,7000000,6000000
Cristian Ramírez,Ecuador,27,12,0,0,0,3,0,0,2,2,1500000,6000000
Omar Colley,The Gambia,29,15,0,0,0,4,0,0,1,3,8000000,6000000
Paddy McNair,Northern Ireland,26,18,3,0,2,5,0,0,0,0,5700000,6000000
Bartosz Bereszynski,Poland,29,14,0,0,2,7,0,0,0,5,1800000,6000000
Ricardo Esgaio,Portugal,28,21,0,0,4,2,0,0,10,2,5500000,6000000
Zouhair Feddal,Morocco,31,15,0,0,1,4,0,0,0,6,3800000,6000000
Kaan Ayhan,Turkey,27,7,0,0,0,1,0,0,3,0,2500000,6000000
Cédric Soares,Portugal,30,5,0,0,1,2,0,0,1,0,0,6000000
Joël Veltman,Netherlands,29,11,0,0,1,4,0,0,1,2,1000000,6000000
Marc Bartra,Spain,30,7,0,0,0,0,0,0,0,1,10500000,6000000
Yaroslav Rakitskiy,Ukraine,32,20,2,0,6,4,0,0,0,9,10000000,6000000
Nico Schulz,Germany,28,11,0,0,0,2,0,0,3,4,25000000,6000000
Ben Mee,England,32,11,2,0,0,1,0,0,0,0,0,6000000
Pedro Mendes,Portugal,31,0,0,0,0,0,0,0,0,0,1000000,6000000
Mamadou Sakho,France,31,11,0,0,0,2,0,0,0,1,0,6000000
Jan Vertonghen,Belgium,34,20,0,0,1,1,0,0,1,1,0,6000000
Borna Barisic,Croatia,29,16,0,0,2,5,0,0,0,1,2450000,5800000
Jonjoe Kenny,England,24,3,0,0,0,0,0,0,1,0,0,5500000
Lucas Piton,Brazil,21,0,0,0,0,0,0,0,0,0,0,5500000
Carlos Augusto,Brazil,22,13,2,0,0,1,0,0,0,1,4000000,5500000
Tomás Tavares,Portugal,20,14,1,0,4,1,0,0,3,2,0,5500000
Marcelo Saracchi,Uruguay,23,0,0,0,0,0,0,0,0,0,12000000,5500000
Kevin Danso,Austria,23,13,0,0,1,2,1,0,1,1,5500000,5500000
Jordan Torunarigha,Germany,24,3,0,0,0,0,0,0,1,1,0,5500000
Almamy Touré,France,25,9,1,0,0,1,0,0,4,5,750000,5500000
Christopher Jullien,France,28,0,0,0,0,0,0,0,0,0,8000000,5500000
Edgar Ié,Guinea-Bissau,27,17,1,0,0,7,0,0,0,0,0,5500000
Vitor Hugo,Brazil,30,16,1,0,0,3,1,0,0,0,3200000,5200000
Nahuel Tenaglia,Argentina,25,22,3,0,2,7,0,0,1,1,0,5000000
Gastón Ávila,Argentina,20,16,3,0,0,2,0,1,0,0,1800000,5000000
Morato,Brazil,20,14,1,0,0,1,0,0,4,0,7600000,5000000
Álex Balde,Spain,18,13,0,0,0,2,0,0,6,3,0,5000000
Alejandro Francés,Spain,19,19,1,0,1,4,0,0,0,3,0,5000000
Igor Diveev,Russia,22,14,1,0,0,1,0,0,0,0,1500000,5000000
Ethan Laird,England,20,19,0,0,4,1,0,0,3,1,0,5000000
Luca Netz,Germany,18,15,1,0,2,1,0,0,5,9,2000000,5000000
Iago,Brazil,24,11,0,1,3,1,0,0,1,3,6500000,5000000
Eduardo Quaresma,Portugal,19,16,0,0,0,1,0,0,3,2,0,5000000
Andrea Carboni,Italy,20,15,0,0,1,1,0,0,0,6,0,5000000
Chris Mepham,Wales,24,16,0,0,0,5,0,0,7,2,13600000,5000000
Jean Marcelin,France,21,0,0,0,0,0,0,0,0,0,10000000,5000000
Bryan Reynolds,United States,20,3,0,0,0,0,0,0,2,0,6750000,5000000
Gerardo Arteaga,Mexico,23,24,2,0,3,3,0,0,0,1,3500000,5000000
Félix Torres,Ecuador,24,17,2,0,0,4,0,0,0,0,1800000,5000000
Miles Robinson,United States,24,0,0,0,0,0,0,0,0,0,0,5000000
Anthony Caci,France,24,15,0,0,2,3,0,0,2,2,0,5000000
